COMP1531|5209018|Chen, Nicholas Matthew Xin                        |5543|COMPA1 MATHM1|081.407|21T1|20030409|M
COMP3311|5290834|Li, William                                       |8543|COMPA1|055.968|21T1|19830212|M
COMP1010|5237618|Liu, Anna Catherine                               |8543|COMPA1|030.834|21T1|20030401|F
COMP1531|5245789|Chan, Rui George Yi Winston Michael               |3959/3|UNDL-U|059.176|21T1|20020907|M
COMP3411|5280616|Li, Kai Tao                                       |8543|COMPA1|067.927|21T1|20000809|M
COMP2041|5294522|Li, Cameron Charles Mitchell Mohammad Jiawei      |3778/3|COMPA1|074.302|21T1|19950806|M
COMP9021|5278173|Cui, Ricky Ryan Mark                              |3782/3|COMPAH|060.673|21T1|19980923|M
COMP3411|5226381|Ahmed, Hao Hao Nathan                             |8543|PSYCB1|052.502|21T1|20000608|M
COMP9902|5274381|Jain, Ziyi Karl Yiwei                             |3768/5|ACTLD1 COMPA1|057.299|21T1|20021216|M
COMP3311|5236936|Huynh, George Zihao Jeremy                        |3959/1|DPENX1|043.609|21T1|19950717|M
COMP9044|5296091|Chen, Sean George                                 |3707/1|COMPAS|061.763|21T1|19970513|M
COMP1531|5240351|Ho, Yue Ying Yi Xin                               |3764/2|COMPA1 FINSA2|061.694|21T1|19990711|F
COMP3231|5223665|Dong, Luke Vincent Yifan                          |3778/3|MTRNAH|061.255|21T1|19960628|M
COMP1531|5277002|Feng, Xin Jennifer Jessica Hannah                 |3673/2|ENGGA1|063.406|21T1|20000904|F
COMP9315|5250320|Liu, Xin Jing                                     |3706/1|PETRAH|061.494|21T1|19951128|F
COMP2041|5211561|Shen, Tony Dominic                                |7543|COMPAS COMPSS|012.783|21T1|19960709|M
COMP4951|5247939|Wang, Jennifer Xinyi                              |3778/2|SENGAH|090.811|21T1|20010802|F
SENG2021|5276992|Chen, Nicholas Liang Ali                          |3707/1|COMPA1|077.910|21T1|19900630|M
COMP2521|5258654|Liu, Emily Jiaqi Emily                            |8543|COMPA1|076.278|21T1|19980706|F
COMP9044|5206501|Peng, Simon                                       |3784/3|COMPZ1|022.645|21T1|19981215|M
SENG2021|5211748|Hu, Yu Grace Emily                                |3959/1|COMPAS|089.830|21T1|20001020|F
COMP1511|5281467|Nguyen, Edward Joel                               |3707/1|COMPAS COMPSS|086.202|21T1|19951127|M
COMP1511|5274901|Zhu, Sean John                                    |3707/2|COMPER|054.468|21T1|20000305|M
COMP9417|5216999|Liu, Grace Sophia Sarah                           |8543|COMPA1|075.388|21T1|19901006|F
COMP1511|5218187|Meng, Tim Darren James Cheuk                      |3781/1|CVENIT|083.905|21T1|20010724|M
COMP3131|5276653|Xiao, Noah Frank Rory                             |3786/1|FINSA1 SENGAH|046.396|21T1|19980926|M
COMP9417|5213529|Huang, Yu Max Brendan                             |3778/3|COMPAS|086.116|21T1|19970406|M
DPBS1150|5285121|Zhang, Adam Haoran Lucas                          |3707/1|COMPCS|065.236|21T1|19990722|M
COMP9417|5233255|Sun, Jennifer Jennifer                            |3707/3|COMPA1|063.826|21T1|20001203|F
SENG3011|5268935|Tran, Bowen Tim                                   |1650|UNDL-U|014.498|21T1|20000516|M
COMP1531|5262763|Yang, Alex Alexander Jacob                        |3707/2|COMPCS|077.618|21T1|19971101|M
COMP9417|5244427|Cai, Adrian Jian                                  |3784/1|COMPF1|040.691|21T1|20020511|M
COMP3331|5246978|Liang, Martin                                     |3959/3|COMPA1|056.853|21T1|20010124|M
COMP1511|5274657|Chen, Xin Yu Jessica                              |8543|COMPA1|046.151|21T1|19960702|F
COMP9321|5215130|Cai, Joel                                         |3784/2|COMPAS|063.627|21T1|19980508|M
COMP9315|5204469|Guan, Yu                                          |3959/2|COMPBH|071.586|21T1|19970207|M
COMP6080|5203949|Wang, Samuel Kelvin                               |8543|COMPA1|067.506|21T1|19941006|M
COMP9020|5228119|Zhan, Michael Haoyu                               |3778/2|COMPAS COMPES|010.259|21T1|19870506|M
COMP9024|5270098|Liang, Bowen Mitchell Christian Lachlan           |1650|COMPER|054.954|21T1|20010930|M
COMP3311|5232648|Tan, Matthew Christian                            |1650|UNDL-U|098.081|21T1|20001122|M
DPST1014|5276010|Yang, .                                           |3707/3|COMPAS|078.613|21T1|20021031|M
COMP1511|5267411|Sun, Tony Tim Ethan Yixuan                        |3764/1|DPBSA1|047.779|21T1|19971102|M
COMP6441|5202493|Tong, Alex Tuan                                   |7001/1|COMPBH|051.491|21T1|19970901|M
COMP1511|5273909|Liu, Yu                                           |8543|COMPA1|075.339|21T1|20010124|F
COMP3311|5250280|Luo, Hao Kenneth                                  |7002/1|ELECBS|066.347|21T1|19980510|M
COMP9334|5247924|Li, Xinyi                                         |3707/2|MATHE1|068.973|21T1|19941201|F
COMP9311|5235554|Huang, Joshua Rui                                 |8543|COMPA1|046.855|21T1|19891122|M
COMP3311|5257445|Liu, James                                        |8543|COMPA1|095.126|21T1|20030509|M
COMP6451|5203949|Wang, Samuel Kelvin                               |8543|COMPA1|067.506|21T1|19941006|M
COMP1511|5283228|Wu, Jack Brian                                    |3707/3|COMPCS|025.048|21T1|19790902|M
COMP9311|5259175|Ali, Steven                                       |4515/1|COMPA1 LAWSA1|011.958|21T1|19980310|M
DPST1014|5267862|Song, Justin Jay                                  |4076/1|ENGGA2 SENGAH|087.154|21T1|19891106|M
COMP9020|5289873|Huynh, Emily Sarah Catherine Rachel               |3778/2|ELECAH|022.192|21T1|19950404|F
COMP9044|5250212|Liu, Sarah Michelle Ying Sophia                   |8543|COMPA1|009.244|21T1|19980706|F
COMP9311|5290541|Li, Nicholas Tong Zihan Cheuk Darren              |8543|COMPA1|054.046|21T1|20010630|M
COMP9024|5234942|Ho, Ziyi Harry                                    |3959/3|COMPA1 MTRNAH|082.382|21T1|19961102|M
COMP2521|5227564|Sun, Jiaqi Grace                                  |3762/5|COMPA1 FINSA2|068.382|21T1|19950704|F
COMP1511|5221104|Wang, Samuel Luke                                 |8543|COMPA1|021.923|21T1|20020806|M
COMP3231|5262491|Guo, Jessica Alice                                |8338|COMPAS|032.786|21T1|20000722|F
DPST1031|5238015|Wang, Patrick                                     |3778/2|COMPAS|052.866|21T1|20030403|M
COMP6080|5236015|Chen, Nicholas Jing                               |3707/1|COMPCS|040.636|21T1|19970922|M
COMP1531|5298591|Yang, Rachel Xinyi Yilin                          |3784/1|COMPA1|042.182|21T1|19960202|F
COMP1511|5264706|Lee, Jing Xinyi                                   |7002/1|BINFAH|084.457|21T1|20011111|F
COMP9021|5209449|Han, Jay Yang Xin                                 |3959/3|COMPDS COMPIS|052.031|21T1|19971104|M
COMP9517|5222436|Zhang, Ryan                                       |8543|COMPA1|075.027|21T1|20011120|M
COMP2521|5242111|Nguyen, Matthew Rohan                             |3784/4|MATHE1|084.147|21T1|20020910|M
COMP9315|5224832|Chen, Joshua Caleb                                |8543|COMPA1|033.632|21T1|19910908|M
COMP6451|5264916|Chen, Eric                                        |8543|SENGAH|002.488|21T1|19960912|M
DPST1091|5204803|He, Hannah Alice Anna                             |7002/1|COMPER|030.706|21T1|20020601|F
ENGG1811|5297200|Wang, Yu Catherine Sarah                          |8543|COMPA1|090.380|21T1|19951003|F
COMP9517|5223467|Zhang, Jing Ying                                  |8543|COMPA1|041.623|21T1|19980702|F
COMP9315|5275011|Wei, Yuchen                                       |3789/1|COMPA1 UNDL-U|082.414|21T1|20000211|M
COMP3311|5234828|Lu, Danny                                         |3707/1|SENGAH|042.711|21T1|19980424|M
COMP4953|5237446|Yang, Alice                                       |3707/2|COMPER|085.868|21T1|19941105|F
COMP4951|5284679|Shen, Yu Angela Shu                               |3778/2|COMPAS|041.868|21T1|19951008|F
COMP3311|5215425|Cao, Christopher Jiawei                           |3782/1|DPENG1|066.285|21T1|19940820|M
COMP2521|5285654|Pan, Jie Ziyi Karl                                |5543|COMPA1 FINSA1|066.308|21T1|19950223|M
COMP3311|5243072|Du, Arthur                                        |7002/1|COMPA1 LAWSA1|090.306|21T1|20010120|M
COMP3411|5254027|Qian, Tony Marcus                                 |3764/1|COMPAH|053.662|21T1|19930119|M
COMP9321|5218653|Lu, Catherine                                     |1650|COMPA1 FINSA1|084.745|21T1|19910908|F
COMP3311|5294592|Lee, Yang                                         |3707/1|COMPSS|025.585|21T1|19941215|M
DPST1021|5201079|Zhang, Peng Timothy Ryan                          |3768/2|MECHAH|074.117|21T1|19991008|M
COMP9318|5282172|Zhang, Nicholas Tao                               |8543|COMPA1|052.605|21T1|20030730|M
COMP6080|5213542|He, Matthew Luke Matthew Zeyu                     |3785/1|COMPA1|035.530|21T1|20010212|M
COMP9417|5201300|Shen, Hao Joel                                    |3785/2|COMPY1|059.150|21T1|19970204|M
COMP9315|5263880|Zhang, Yi Yue                                     |3781/2|BINFAH|073.519|21T1|20021202|F
COMP3411|5209518|Lo, Jay Bowen                                     |3764/3|DPENH1|037.105|21T1|20010525|M
COMP9417|5204712|Sharma, Yi Jun                                    |3778/1|MECHAH|070.068|21T1|19960808|M
COMP9021|5278478|Zhang, Hannah Shu                                 |8543|COMPA1|004.742|21T1|19961004|F
COMP3331|5260006|Dang, Joshua Zhe                                  |1650|ACCTA1 INFSA1|073.110|21T1|20001104|M
COMP9902|5214573|Zhao, Benjamin Stephen Han                        |7004/1|COMPER|023.656|21T1|19990111|M
COMP6441|5271378|Chung, Peter Karl Adrian                          |3959/2|ELECAH|008.658|21T1|20020429|M
COMP9021|5256956|Wang, Sarah Catherine                             |8543|COMPA1|082.059|21T1|20011019|F
COMP1531|5267521|Yang, Benjamin                                    |3778/3|COMPA1|004.883|21T1|20000204|M
COMP9024|5256025|Nguyen, Brian Yijie                               |3778/3|SENGAH|016.153|21T1|19951004|M
COMP3311|5241532|Yang, Michael Yuchen                              |8543|COMPAS|097.754|21T1|20030125|M
COMP9417|5295260|Tian, Raymond Nicholas Zheng                      |3784/3|COMPAS COMPDS|061.509|21T1|19970717|M
COMP9417|5295501|Le, Kevin Edward                                  |3959/3|ACTLD1|057.856|21T1|20000625|M
COMP9044|5213780|Zhong, Long Benjamin                              |3778/3|MTRNAH|067.268|21T1|20000216|M
SENG3011|5217014|Gao, Tim Anson                                    |3707/4|MTRNAH|085.269|21T1|19951219|M
COMP9321|5252078|Li, William Calvin Paul                           |8543|COMPA1|031.449|21T1|19850813|M
COMP1511|5273476|Huang, Justin                                     |8543|SENGAH|067.743|21T1|19980503|M
DPBS1120|5272031|Zhang, David Mohammad Rahul                       |8543|COMPA1|070.979|21T1|19980215|M
COMP1531|5246299|Li, Eric Ryan Jack                                |8543|COMPA1|023.229|21T1|19971015|M
